type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.428571416326531,0.5357142665816333,0.47618996724666995,20,22,0.0,0.0,,
art,0.0,0.0,0.0,1,2,0.0,0.0,3,2
building,0.0,0.0,0.0,3,3,0.0,0.0,3,3
event,0.0,0.0,0.0,0,1,0.0,0.0,1,1
location,0.0,0.0,0.0,0,1,0.0,0.0,1,1
organization,0.0,0.0,0.0,2,2,0.0,0.4999999975,3,2
other,0.0,0.0,0.0,14,9,0.0,0.0,8,9
person,0.0,0.0,0.0,5,7,0.0,0.0,5,7
product,0.0,0.0,0.0,5,3,0.0,0.0,4,3
art-music,0.0,0.0,0.0,0,1,0.0,0.0,1,1
art-writtenart,0.0,0.0,0.0,1,1,0.0,0.0,2,1
building-hospital,0.0,0.0,0.0,3,2,0.0,0.0,1,2
building-theater,0.0,0.0,0.0,0,1,0.0,0.0,2,1
event-election,0.0,0.0,0.0,0,1,0.0,0.0,1,1
location-other,0.0,0.0,0.0,0,1,0.0,0.0,1,1
organization-government/governmentagency,0.0,0.0,0.0,2,1,0.0,0.0,2,1
organization-politicalparty,0.0,0.0,0.0,0,1,0.0,0.9999999900000002,1,1
other-educationaldegree,0.0,0.0,0.0,6,2,0.0,0.0,3,2
other-livingthing,0.0,0.0,0.0,7,3,0.0,0.0,2,3
other-medical,0.0,0.0,0.0,1,4,0.0,0.0,3,4
person-actor,0.0,0.0,0.0,1,2,0.0,0.0,1,2
person-athlete,0.0,0.0,0.0,4,5,0.0,0.0,4,5
product-car,0.0,0.0,0.0,3,1,0.0,0.0,2,1
product-weapon,0.0,0.0,0.0,2,2,0.0,0.0,2,2
